아파트명,건축년도,전용면적,거래금액,층,동,거래유형,계약년도,계약월,계약일,계약해지여부,계약해지사유발생일,등기일자,권리구분,매수자,매도자,중개사소재지,시군구코드,법정동,거래구분,date_id
강변래미안,2002.0,79.43,"125,500",15,,중개거래,2024,9,7,,,,,개인,개인,서울 영등포구,영등포구,당산동,실거래,2024-09-21
브라이튼여의도,2023.0,113.9657,"413,400",30,,직거래,2024,9,3,,,,,법인,개인,,영등포구,여의도동,실거래,2024-09-21
삼성래미안,2001.0,114.87,"98,000",7,,중개거래,2024,9,7,,,,,개인,개인,서울 영등포구,영등포구,신길동,실거래,2024-09-21
아크로타워스퀘어,2017.0,84.69,"167,000",12,,중개거래,2024,9,7,,,,,개인,개인,서울 영등포구,영등포구,영등포동7가,실거래,2024-09-21
여의도의아침,2012.0,12.04,"11,500",8,,중개거래,2024,9,19,,,,,개인,개인,서울 영등포구,영등포구,영등포동1가,실거래,2024-09-21
한양,1975.0,149.59,"309,000",11,,중개거래,2024,9,9,,,,,개인,개인,서울 영등포구,영등포구,여의도동,실거래,2024-09-21
브라이튼여의도,2023.0,101.9509,"395,400",43,,직거래,2024,9,2,,,,,법인,개인,,영등포구,여의도동,실거래,2024-09-21
브라이튼여의도,2023.0,117.335,"417,300",16,,직거래,2024,9,2,,,,,법인,개인,,영등포구,여의도동,실거래,2024-09-21
브라이튼여의도,2023.0,101.9509,"376,100",30,,직거래,2024,9,2,,,,,법인,개인,,영등포구,여의도동,실거래,2024-09-21
브라이튼여의도,2023.0,132.5963,"493,400",20,,직거래,2024,9,3,,,,,법인,개인,,영등포구,여의도동,실거래,2024-09-21
브라이튼여의도,2023.0,101.9509,"367,500",36,,직거래,2024,9,2,,,,,법인,개인,,영등포구,여의도동,실거래,2024-09-21
브라이튼여의도,2023.0,101.9509,"376,100",28,,직거래,2024,9,2,,,,,법인,개인,,영등포구,여의도동,실거래,2024-09-21
당산현대3차,1988.0,84.93,"117,500",3,,중개거래,2024,9,2,,,,,개인,개인,서울 영등포구,영등포구,당산동4가,실거래,2024-09-21
양평한신,1996.0,59.94,"83,700",6,,중개거래,2024,9,7,,,,,개인,개인,서울 영등포구,영등포구,양평동5가,실거래,2024-09-21
당산삼성래미안4차,2003.0,115.78,"186,000",11,,중개거래,2024,9,3,,,,,개인,개인,서울 영등포구,영등포구,당산동5가,실거래,2024-09-21
아크로타워스퀘어,2017.0,59.7,"139,500",24,,중개거래,2024,9,10,,,,,개인,개인,서울 영등포구,영등포구,영등포동7가,실거래,2024-09-21
시범,1971.0,118.12,"265,000",12,,중개거래,2024,9,12,,,,,개인,개인,서울 영등포구,영등포구,여의도동,실거래,2024-09-21
공작,1976.0,91.97,"255,000",4,,중개거래,2024,9,9,,,,,개인,개인,서울 영등포구,영등포구,여의도동,실거래,2024-09-21
힐스테이트클래시안,2020.0,59.91,"130,000",7,,중개거래,2024,9,4,,,,,개인,개인,서울 영등포구,영등포구,신길동,실거래,2024-09-21
영등포중흥에스클래스,2021.0,59.97,"106,000",24,,중개거래,2024,9,6,,,,,개인,개인,서울 영등포구,영등포구,양평동1가,실거래,2024-09-21
헤렌어반,2011.0,13.216,"10,950",2,,중개거래,2024,9,2,,,,,개인,개인,서울 영등포구,영등포구,영등포동1가,실거래,2024-09-21
브라이튼여의도,2023.0,101.9509,"376,100",26,,직거래,2024,9,2,,,,,법인,개인,,영등포구,여의도동,실거래,2024-09-21
늘푸른,2008.0,78.58,"50,000",6,,중개거래,2024,9,7,,,,,개인,개인,서울 영등포구,영등포구,대림동,실거래,2024-09-21
e편한세상 문래 에듀플라츠,2020.0,59.9854,"100,500",5,,중개거래,2024,9,8,,,,,개인,개인,"경기 광주시, 서울 영등포구",영등포구,문래동6가,실거래,2024-09-21
현대2,1986.0,81.2,"92,000",1,,중개거래,2024,9,7,,,,,개인,개인,서울 영등포구,영등포구,당산동4가,실거래,2024-09-21
영등포자이르네,2022.0,49.01,"62,700",7,,중개거래,2024,9,7,,,,,개인,개인,서울 영등포구,영등포구,대림동,실거래,2024-09-21
문래해태,1999.0,65.65,"65,000",4,101,중개거래,2024,9,12,,,24.09.12,,개인,개인,서울 영등포구,영등포구,문래동3가,실거래,2024-09-21
아크로타워스퀘어,2017.0,59.7,"140,000",16,,중개거래,2024,9,2,,,,,개인,개인,"서울 동작구, 서울 영등포구",영등포구,영등포동7가,실거래,2024-09-21
삼환,1999.0,59.91,"95,000",8,,중개거래,2024,9,2,,,,,개인,개인,"서울 광진구, 서울 영등포구",영등포구,영등포동8가,실거래,2024-09-21
