아파트명,계약일,건축년도,전용면적,거래금액,층,동,거래유형,계약해지여부,계약해지사유발생일,등기일자,권리구분,매수자,매도자,중개사소재지,시군구코드,법정동,거래구분,date_id,신규거래
태솔,2024-09-12,2009.0,77.19,"54,500",2,,중개거래,,,,,개인,개인,서울 강동구,강동구,길동,실거래,2024-09-21,nan
강동큐브(2차),2024-09-13,2013.0,12.52,"11,500",13,,중개거래,,,,,개인,개인,서울 강동구,강동구,길동,실거래,2024-09-21,nan
암사라인,2024-09-06,1996.0,84.87,"84,000",4,,중개거래,,,,,개인,개인,서울 강동구,강동구,암사동,실거래,2024-09-21,nan
아남1,2024-09-10,1996.0,84.91,"100,500",7,,중개거래,,,,,개인,개인,서울 강동구,강동구,고덕동,실거래,2024-09-21,nan
대명사이버아파트,2024-09-03,2001.0,59.84,"59,000",2,,중개거래,,,,,개인,개인,서울 강동구,강동구,천호동,실거래,2024-09-21,nan
고덕자이,2024-09-04,2021.0,59.7084,"133,800",10,,중개거래,,,,,개인,개인,서울 강동구,강동구,상일동,실거래,2024-09-21,nan
고덕아르테온,2024-09-07,2020.0,59.98,"141,500",15,,중개거래,,,,,개인,개인,"서울 강동구, 서울 은평구",강동구,상일동,실거래,2024-09-21,nan
롯데캐슬퍼스트,2024-09-07,2008.0,59.99,"124,700",20,,중개거래,,,,,개인,개인,서울 강동구,강동구,암사동,실거래,2024-09-21,nan
천호동삼성아파트,2024-09-11,1997.0,84.97,"93,000",10,,중개거래,,,,,개인,개인,서울 강동구,강동구,천호동,실거래,2024-09-21,nan
선광,2024-09-06,1997.0,59.96,"65,000",3,,중개거래,,,,,개인,개인,"서울 강동구, 서울 서초구",강동구,성내동,실거래,2024-09-21,nan
둔촌푸르지오,2024-09-10,2010.0,84.9,"123,500",10,,중개거래,,,,,개인,개인,서울 강동구,강동구,둔촌동,실거래,2024-09-21,nan
길동우성,2024-09-02,1994.0,40.36,"58,000",12,,중개거래,,,,,개인,개인,서울 강동구,강동구,길동,실거래,2024-09-21,nan
현대2,2024-09-05,1988.0,79.79,"94,500",10,,중개거래,,,,,개인,개인,서울 강동구,강동구,둔촌동,실거래,2024-09-21,nan
강동헤리티지자이,2024-09-04,2024.0,59.98,"133,000",17,,중개거래,,,,,법인,개인,서울 강동구,강동구,길동,실거래,2024-09-21,nan
천호동삼성아파트,2024-09-05,1997.0,59.86,"79,500",9,,중개거래,,,,,개인,개인,"서울 강동구, 서울 중랑구",강동구,천호동,실거래,2024-09-21,nan
암사라인,2024-09-03,1996.0,59.34,"58,900",13,,중개거래,,,,,개인,개인,서울 강동구,강동구,암사동,실거래,2024-09-21,nan
선사현대아파트,2024-09-07,2000.0,58.68,"90,000",3,,중개거래,,,,,개인,개인,서울 강동구,강동구,암사동,실거래,2024-09-21,nan
프라자,2024-09-07,1984.0,83.4,"91,000",1,,중개거래,,,,,개인,개인,서울 강동구,강동구,둔촌동,실거래,2024-09-21,nan
에스케이허브진,2024-09-07,2004.0,33.71,"32,800",7,,중개거래,,,,,개인,개인,서울 강동구,강동구,성내동,실거래,2024-09-21,nan
초원동아,2024-09-07,1997.0,59.63,"64,500",6,,중개거래,,,,,개인,개인,서울 강동구,강동구,둔촌동,실거래,2024-09-21,nan
래미안솔베뉴,2024-09-07,2019.0,59.11,"120,000",17,,중개거래,,,,,개인,개인,서울 강동구,강동구,명일동,실거래,2024-09-21,nan
둔촌역아치스톤(101동),2024-09-06,2010.0,84.94,"93,000",5,,중개거래,,,,,개인,개인,서울 강동구,강동구,성내동,실거래,2024-09-21,nan
힐스테이트 강동 리버뷰,2024-09-06,2019.0,59.9958,"112,000",17,,중개거래,,,,,개인,개인,서울 성동구,강동구,암사동,실거래,2024-09-21,nan
대명사이버아파트,2024-09-02,2001.0,84.62,"64,000",5,,중개거래,,,,,개인,개인,서울 강동구,강동구,천호동,실거래,2024-09-21,nan
고덕롯데캐슬베네루체,2024-09-01,2019.0,59.981,"126,700",16,,중개거래,,,,,개인,개인,"서울 강동구, 서울 송파구",강동구,상일동,실거래,2024-09-21,nan
우정에쉐르(101동),2024-09-05,2004.0,84.24,"61,000",3,,중개거래,,,,,개인,개인,서울 강동구,강동구,천호동,실거래,2024-09-21,nan
에스케이허브진,2024-09-04,2004.0,33.71,"33,000",10,,중개거래,,,,,개인,개인,서울 강동구,강동구,성내동,실거래,2024-09-21,nan
관악드림(동아),2024-09-19,2003.0,84.96,"93,000",9,,중개거래,,,,,개인,개인,서울 관악구,관악구,봉천동,실거래,2024-09-21,nan
코스모블루,2024-09-14,2012.0,14.25,"12,750",9,,중개거래,,,,,개인,개인,서울 관악구,관악구,봉천동,실거래,2024-09-21,nan
보라매갑을,2024-09-11,2003.0,55.91,"58,500",16,,중개거래,,,,,개인,개인,서울 관악구,관악구,신림동,실거래,2024-09-21,nan
서울대입구아이원(1560-61),2024-09-13,2006.0,84.89,"93,000",13,,중개거래,,,,,개인,개인,서울 송파구,관악구,봉천동,실거래,2024-09-21,nan
현대(관악),2024-09-12,1992.0,116.72,"98,800",8,,중개거래,,,,,개인,개인,서울 관악구,관악구,봉천동,실거래,2024-09-21,nan
서울대입구아이원(1560-61),2024-09-10,2006.0,59.96,"80,000",13,,중개거래,,,,,개인,개인,서울 관악구,관악구,봉천동,실거래,2024-09-21,nan
현대(관악),2024-09-07,1992.0,68.8,"69,000",1,,중개거래,,,,,개인,개인,서울 관악구,관악구,봉천동,실거래,2024-09-21,nan
벽산블루밍,2024-09-07,2005.0,59.99,"77,400",17,,중개거래,,,,,개인,개인,서울 관악구,관악구,봉천동,실거래,2024-09-21,nan
벽산타운II,2024-09-07,2003.0,57.36,"59,500",15,,중개거래,,,,,개인,개인,"경기 파주시, 서울 관악구",관악구,봉천동,실거래,2024-09-21,nan
동부,2024-09-09,1993.0,60.38,"73,500",2,,중개거래,,,,,개인,개인,서울 관악구,관악구,신림동,실거래,2024-09-21,nan
관악드림(동아),2024-09-07,2003.0,84.96,"93,900",16,,중개거래,,,,,개인,개인,서울 관악구,관악구,봉천동,실거래,2024-09-21,nan
힐스테이트뉴포레,2024-09-05,2022.0,59.9986,"100,500",35,,중개거래,,,,,개인,개인,서울 관악구,관악구,신림동,실거래,2024-09-21,nan
