aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm,date_id
 ,현대(관악),11620-28,1000,0,1992,개인, , ,"69,000",7,9,2024,중개거래,서울 관악구,68.8,1,1000,1,N, ,관악로,304,0,3120001,1,11620,0.0,11620,개인,10100,봉천동,2024-09-15
 ,벽산블루밍,11620-95,1718,0,2005,개인, , ,"77,400",7,9,2024,중개거래,서울 관악구,59.99,17,1718,1,N, ,은천로,93,0,3120009,1,11620,0.0,11620,개인,10100,봉천동,2024-09-15
 ,벽산타운II,11620-94,1716,0,2003,개인, , ,"59,500",7,9,2024,중개거래,"경기 파주시, 서울 관악구",57.36,15,1716,1,N, ,구암5가길,49,0,4160042,1,11620,0.0,11620,개인,10100,봉천동,2024-09-15
 ,동부,11620-49,1695,0,1993,개인, , ,"73,500",9,9,2024,중개거래,서울 관악구,60.38,2,1695,1,N, ,신원로,26,0,3120007,1,11620,0.0,11620,개인,10200,신림동,2024-09-15
 ,관악드림(동아),11620-4,1712,0,2003,개인, , ,"93,900",7,9,2024,중개거래,서울 관악구,84.96,16,1712,1,N, ,성현로,80,0,3120004,1,11620,0.0,11620,개인,10100,봉천동,2024-09-15
 ,힐스테이트뉴포레,11620-6128,1746,0,2022,개인, , ,"100,500",5,9,2024,중개거래,서울 관악구,59.9986,35,1746,1,N, ,조원로,25,0,3120010,1,11620,0.0,11620,개인,10200,신림동,2024-09-15
 ,관악산휴먼시아2단지,11620-4347,1735,0,2008,개인, , ,"59,000",4,9,2024,중개거래,서울 관악구,59.96,16,1735,1,N, ,난곡로,55,0,3120003,1,11620,0.0,11620,개인,10200,신림동,2024-09-15
 ,동부,11620-49,1695,0,1993,개인, , ,"61,800",2,9,2024,중개거래,서울 관악구,50.57,12,1695,1,N, ,신원로,26,0,3120007,1,11620,0.0,11620,개인,10200,신림동,2024-09-15
106,관악산휴먼시아1단지,11620-4348,1735,1,2008,개인, , ,"67,700",5,9,2024,중개거래,서울 관악구,84.97,12,1735-1,1,N,24.09.05,난곡로,30,0,3120003,1,11620,0.0,11620,개인,10200,신림동,2024-09-15
 ,현대(관악),11620-28,1000,0,1992,개인, , ,"90,000",1,9,2024,중개거래,서울 관악구,105.84,5,1000,1,N, ,관악로,304,0,3120001,1,11620,0.0,11620,개인,10100,봉천동,2024-09-15
 ,현대(관악),11620-28,1000,0,1992,개인, , ,"78,000",1,9,2024,중개거래,서울 관악구,68.8,7,1000,1,N, ,관악로40길,60,0,4160021,1,11620,0.0,11620,개인,10100,봉천동,2024-09-15
 ,서초동삼성쉐르빌2,11650-608,1330,0,2002,개인, , ,"27,500",5,9,2024,직거래, ,35.22,3,1330,1,N,24.09.06,강남대로53길,11,0,4163026,1,11650,0.0,11650,개인,10800,서초동,2024-09-15
 ,흑석동양아파트,11590-106,328,0,2003,개인, , ,"93,500",7,9,2024,중개거래,서울 동작구,59.511,10,328,1,N, ,서달로1길,17,0,4157422,1,11590,0.0,11590,개인,10500,흑석동,2024-09-15
 ,보라매삼성쉐르빌,11590-82,395,66,2003,개인, , ,"147,000",2,9,2024,중개거래,서울 동작구,120.59,11,395-66,1,N, ,보라매로5길,43,0,4160385,1,11590,0.0,11590,개인,10900,신대방동,2024-09-15
 ,경향렉스빌,11590-23,445,0,2002,개인, , ,"83,000",9,9,2024,중개거래,서울 동작구,84.5802,3,445,1,N, ,양녕로23길,9,0,4157508,1,11590,0.0,11590,개인,10200,상도동,2024-09-15
 ,대방동현대,11590-84,502,0,1994,개인, , ,"107,200",9,9,2024,중개거래,서울 동작구,84.96,19,502,1,N, ,등용로,127,0,3119001,2,11590,0.0,11590,개인,10800,대방동,2024-09-15
 ,두산위브트레지움2차,11590-4495,535,0,2016,개인, , ,"148,500",3,9,2024,중개거래,서울 동작구,84.9736,12,535,1,N, ,상도로30길,40,0,4157340,1,11590,0.0,11590,개인,10200,상도동,2024-09-15
 ,이수푸르지오더프레티움,11590-5191,1161,0,2021,개인, , ,"190,000",8,9,2024,중개거래,서울 동작구,84.9633,4,1161,1,N, ,동작대로39길,39,0,4157154,0,11590,0.0,11590,개인,10700,사당동,2024-09-15
 ,대림아파트,11590-57,501,0,1993,개인, , ,"98,000",6,9,2024,중개거래,서울 동작구,59.84,6,501,1,N, ,여의대방로44길,10,0,4157566,1,11590,0.0,11590,개인,10800,대방동,2024-09-15
 ,흑석한강푸르지오,11590-3965,336,0,2012,개인, , ,"162,000",8,9,2024,중개거래,서울 동작구,84.98,6,336,1,N, ,흑석한강로,27,0,3119012,1,11590,0.0,11590,개인,10500,흑석동,2024-09-15
 ,동작상떼빌,11590-3351,719,0,2006,개인, , ,"91,000",7,9,2024,중개거래,서울 동작구,84.98,19,719,1,N, ,신대방1가길,38,0,4157486,1,11590,0.0,11590,개인,10900,신대방동,2024-09-15
 ,신동아5,11590-88,1137,0,1998,개인, , ,"120,000",7,9,2024,중개거래,서울 동작구,114.68,12,1137,1,N, ,동작대로29길,118,0,4157127,2,11590,0.0,11590,개인,10700,사당동,2024-09-15
 ,두산위브트레지움,11590-3828,1131,0,2011,개인, , ,"129,000",7,9,2024,중개거래,서울 동작구,59.773,19,1131,1,N, ,사당로13길,31,0,4157230,1,11590,0.0,11590,개인,10700,사당동,2024-09-15
 ,상도현대,11590-15,412,0,2003,개인, , ,"66,000",2,9,2024,중개거래,서울 관악구,59.72,14,412,1,N, ,사당로2길,2,32,4157289,1,11590,0.0,11590,개인,10200,상도동,2024-09-15
